,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
157,2019-10-23,56000.0,57000.0,56000.0,56400.0,747810,0.0,0.0,0.0
158,2019-10-24,56800.0,58200.0,56400.0,58200.0,2233890,0.0,0.0,0.0
159,2019-10-25,58300.0,58500.0,57700.0,58000.0,1355310,0.0,0.0,0.0
160,2019-10-28,58000.0,58800.0,57800.0,58100.0,1494820,0.0,0.0,0.0
161,2019-10-29,58200.0,58300.0,57800.0,57900.0,953020,0.0,0.0,0.0
162,2019-10-30,57900.0,58100.0,57600.0,57800.0,1102070,0.0,0.0,0.0
163,2019-10-31,58000.0,58700.0,57800.0,57900.0,1263390,0.0,0.0,0.0
164,2019-11-01,58000.0,58700.0,57600.0,58500.0,1732950,0.0,0.0,0.0
165,2019-11-04,58700.0,60500.0,58700.0,59900.0,5811560,0.0,0.0,0.0
166,2019-11-05,60100.0,60100.0,59400.0,59800.0,1239520,0.0,0.0,0.0
167,2019-11-06,59800.0,60400.0,59500.0,59500.0,1551610,0.0,0.0,0.0
168,2019-11-07,59500.0,59900.0,59200.0,59500.0,1438030,0.0,0.0,0.0
169,2019-11-08,59800.0,59800.0,59200.0,59600.0,1219540,0.0,0.0,0.0
170,2019-11-11,59700.0,60600.0,59500.0,60000.0,2180490,0.0,0.0,0.0
171,2019-11-12,60000.0,61300.0,60000.0,61000.0,2842650,0.0,0.0,0.0
172,2019-11-13,61200.0,61300.0,60500.0,60500.0,1333940,0.0,0.0,0.0
173,2019-11-14,60500.0,61000.0,57500.0,58300.0,4799390,0.0,0.0,0.0
174,2019-11-15,58300.0,58800.0,57700.0,58600.0,2568040,0.0,0.0,0.0
175,2019-11-18,58400.0,58800.0,57100.0,57500.0,2794920,0.0,0.0,0.0
176,2019-11-19,57500.0,58300.0,57500.0,58300.0,1059770,0.0,0.0,0.0
177,2019-11-20,58200.0,58200.0,56600.0,56800.0,2291760,0.0,0.0,0.0
178,2019-11-21,56800.0,57100.0,55900.0,56000.0,3303950,0.0,0.0,0.0
179,2019-11-22,56300.0,57100.0,55500.0,56000.0,1625820,0.0,0.0,0.0
180,2019-11-25,56100.0,57000.0,55800.0,56600.0,1087990,0.0,0.0,0.0
181,2019-11-26,57000.0,57200.0,56800.0,57100.0,968690,0.0,0.0,0.0
182,2019-11-27,57200.0,57400.0,56900.0,57000.0,812280,0.0,0.0,0.0
183,2019-11-29,56000.0,56800.0,55800.0,56400.0,739370,0.0,0.0,0.0
184,2019-12-02,56500.0,56500.0,54600.0,54600.0,1992380,0.0,0.0,0.0
185,2019-12-03,54200.0,55200.0,53300.0,54500.0,1619120,0.0,0.0,0.0
186,2019-12-04,54500.0,55500.0,54000.0,55400.0,932130,0.0,0.0,0.0
187,2019-12-05,55500.0,55800.0,54800.0,54900.0,1144000,0.0,0.0,0.0
188,2019-12-06,55000.0,55400.0,54700.0,55000.0,556160,0.0,0.0,0.0
189,2019-12-09,55200.0,55800.0,55000.0,55300.0,700960,0.0,0.0,0.0
190,2019-12-10,55300.0,55800.0,54800.0,55500.0,797100,0.0,0.0,0.0
191,2019-12-11,55500.0,56600.0,55200.0,56500.0,877960,0.0,0.0,0.0
192,2019-12-12,56800.0,57200.0,56700.0,57000.0,942410,0.0,0.0,0.0
193,2019-12-13,57200.0,57500.0,56900.0,57100.0,1681700,0.0,0.0,0.0
194,2019-12-16,57100.0,57100.0,56400.0,56500.0,968130,0.0,0.0,0.0
195,2019-12-17,56200.0,56400.0,55100.0,55400.0,2211360,0.0,0.0,0.0
196,2019-12-18,55400.0,56000.0,55000.0,55500.0,1022490,0.0,0.0,0.0
197,2019-12-19,55500.0,56200.0,55400.0,55800.0,817820,0.0,0.0,0.0
198,2019-12-20,56000.0,56700.0,55800.0,56500.0,777100,0.0,0.0,0.0
199,2019-12-23,56900.0,57000.0,56000.0,56100.0,766000,0.0,0.0,0.0
200,2019-12-24,56400.0,56500.0,56100.0,56400.0,692100,0.0,0.0,0.0
201,2019-12-26,57800.0,58100.0,57400.0,57400.0,1124500,0.0,0.0,0.0
202,2019-12-27,57400.0,57800.0,56800.0,57600.0,1004860,0.0,0.0,0.0
203,2019-12-30,57800.0,58900.0,57600.0,58600.0,2881060,0.0,0.0,0.0
204,2019-12-31,58600.0,58700.0,58000.0,58300.0,689030,0.0,0.0,0.0
205,2020-01-02,58300.0,59000.0,58000.0,58600.0,896720,0.0,0.0,0.0
206,2020-01-03,58900.0,59100.0,57400.0,57600.0,2047880,0.0,0.0,0.0
207,2020-01-06,57100.0,57600.0,56800.0,57000.0,1091660,0.0,0.0,0.0
