,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
442,2020-12-14,85400.0,87000.0,85000.0,87000.0,2974170,0.0,0.0
443,2020-12-15,86500.0,88100.0,85000.0,86000.0,4050090,0.0,0.0
444,2020-12-16,86000.0,86600.0,85500.0,86200.0,1812470,0.0,0.0
445,2020-12-17,86000.0,86000.0,84500.0,84700.0,4870320,0.0,0.0
446,2020-12-18,84700.0,86000.0,84600.0,85300.0,3038890,0.0,0.0
447,2020-12-21,85600.0,87300.0,85600.0,87100.0,3322250,0.0,0.0
448,2020-12-22,87200.0,87900.0,86400.0,86900.0,2163130,0.0,0.0
449,2020-12-23,87400.0,89000.0,86800.0,87400.0,3220800,0.0,0.0
450,2020-12-24,88000.0,88100.0,84500.0,86300.0,2687430,0.0,0.0
451,2020-12-28,88500.0,88600.0,86700.0,87700.0,1905670,0.0,0.0
452,2020-12-29,87700.0,90500.0,87100.0,90300.0,3451160,0.0,0.0
453,2020-12-30,90600.0,92000.0,90000.0,90200.0,2027680,0.0,0.0
454,2020-12-31,91200.0,91400.0,89500.0,89500.0,1272810,0.0,0.0
455,2021-01-04,91000.0,92900.0,89900.0,92000.0,307750,0.0,0.0
456,2021-01-05,91800.0,96000.0,91500.0,95600.0,285320,0.0,0.0
457,2021-01-06,96600.0,96600.0,94200.0,94800.0,283820,0.0,0.0
458,2021-01-07,94800.0,95100.0,93400.0,94800.0,292640,0.0,0.0
459,2021-01-08,95500.0,96800.0,95300.0,96400.0,218720,0.0,0.0
460,2021-01-11,98000.0,103100.0,97600.0,103100.0,451270,0.0,0.0
461,2021-01-12,104800.0,104900.0,103100.0,103400.0,286260,0.0,0.0
462,2021-01-13,104000.0,104100.0,99600.0,100900.0,297250,0.0,0.0
463,2021-01-14,100900.0,101200.0,98600.0,99600.0,327480,0.0,0.0
464,2021-01-15,100700.0,101600.0,99400.0,101600.0,207810,0.0,0.0
465,2021-01-19,100000.0,100700.0,94000.0,96800.0,355250,0.0,0.0
466,2021-01-20,97000.0,103000.0,94500.0,97500.0,345730,0.0,0.0
467,2021-01-21,98000.0,99400.0,97800.0,99000.0,301830,0.0,0.0
468,2021-01-22,99400.0,101000.0,98900.0,99300.0,226280,0.0,0.0
469,2021-01-25,99500.0,100100.0,98600.0,99500.0,214200,0.0,0.0
470,2021-01-26,99600.0,99700.0,95000.0,98000.0,210570,0.0,0.0
471,2021-01-27,96000.0,98200.0,91500.0,93900.0,331200,0.0,0.0
472,2021-01-28,87500.0,89700.0,87400.0,87400.0,319760,0.0,0.0
473,2021-01-29,84000.0,93500.0,84000.0,93500.0,546940,0.0,0.0
474,2021-02-01,93600.0,95000.0,88300.0,88300.0,263420,0.0,0.0
475,2021-02-02,89000.0,94400.0,88000.0,94400.0,275690,0.0,0.0
476,2021-02-03,94500.0,98900.0,94500.0,97200.0,336590,0.0,0.0
477,2021-02-04,97200.0,98900.0,95200.0,98400.0,249890,0.0,0.0
